run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
1033,least_squares_d5_I2,411,7,2,1033,0.01259359999676235,0.2193624999927124,0.007755599988740869,0.23971169997821562
1034,chebyshev_d5_I2,112,3,20,1034,0.012508100000559352,0.23049610000452958,0.009917699993820861,0.2529218999989098
1035,least_squares_d5_I2,411,7,5,1035,0.01570789999095723,0.2550145999994129,0.008537699992302805,0.27926019998267293
1036,least_squares_d5_I2,589,4,6,1036,0.013748199999099597,0.25193030000082217,0.008698200006620027,0.2743767000065418
1037,chebyshev_d5_I2,586,0,5,1037,0.014153199997963384,0.25420299998950213,0.008815900000627153,0.27717209998809267
1038,least_squares_d3_I1,633,2,23,1038,0.010887599986745045,0.19841660000383854,0.00852070000837557,0.21782489999895915
1039,least_squares_d5_I2,949,1,16,1039,0.014070899997022934,0.24069649999728426,0.00856579998799134,0.26333319998229854
1040,chebyshev_d5_I1,112,3,17,1040,0.013862200008588843,0.2468076000077417,0.008445799991022795,0.26911560000735335
1041,least_squares_d3_I1,259,6,11,1041,0.010196799994446337,0.179836899988004,0.008052200006204657,0.198085899988655
1042,least_squares_d5_I2,586,0,0,1042,0.012990500006708317,0.2345828999968944,0.008328600000822917,0.25590200000442564
1043,least_squares_d5_I1,603,8,23,1043,0.013492800004314631,0.2359298000083072,0.008262600007583387,0.25768520002020523
1044,chebyshev_d5_I2,586,0,21,1044,0.012742399994749576,0.22725999999966007,0.008189800006221049,0.2481922000006307
1045,least_squares_d3_I1,259,6,1,1045,0.010724199994001538,0.17355809999571647,0.008483999990858138,0.19276629998057615
1046,chebyshev_d5_I2,586,0,12,1046,0.013095600006636232,0.2213311999948928,0.007792999997036532,0.24221979999856558
1047,least_squares_d3_I1,259,6,3,1047,0.009396599998581223,0.16721280000638217,0.007677500005229376,0.18428690001019277
1048,least_squares_d5_I1,633,2,22,1048,0.01232190000882838,0.2179995000042254,0.007703099996433593,0.23802450000948738
