configuration_id,activation,method,degree,effective_degree,interval_name,lower_bound,upper_bound,mae_uniform,rmse_uniform,max_error_uniform,x_at_max_error_uniform,mae_empirical,rmse_empirical,median_abs_error_empirical,p95_abs_error_empirical,p99_abs_error_empirical,max_error_empirical,fraction_outside_interval,mae_inside_interval,mae_outside_interval,outside_error_contribution,mae_origin_uniform,rmse_origin_uniform,max_error_origin_uniform,origin_empirical_sample_count,origin_empirical_fraction,mae_origin_empirical,rmse_origin_empirical,max_error_origin_empirical,bias_ratio,bias_ratio_denominator_clamped,max_abs_output_uniform,max_abs_output_empirical,valid,invalid_reason,practically_viable,practical_viability_reason
act2_chebyshev_d7_I1,act2,chebyshev,7,7,I1,-18.4731,9.093,0.10888196528744239,0.1432987731668635,0.5707605220102925,0.0007909990999088734,0.2461352071138178,2.560490412992217,0.14972754728637214,0.4785480970535445,0.5588307455064141,253.10530060327352,0.00943,0.17609086429568793,7.60391088742717,0.29132313296114704,0.4533916244654995,0.45815866324339916,0.571152042252148,12765,0.12765,0.45106928562548976,0.4556957482769775,0.5711434974669013,0.44236648045678895,False,9.04662173357057,253.10530060327352,True,,True,
act2_chebyshev_d7_I2,act2,chebyshev,7,7,I2,-24.8339,12.2336,0.14636513817981175,0.1926462054172905,0.7678116555463372,0.00010165016501417767,0.2685891137528662,0.3340173255948914,0.22987650152114503,0.6669711555220433,0.7473766608706847,9.463219696657632,0.001,0.26771458228964884,1.1422460455070222,0.004252763745882954,0.6482339315006312,0.6517415359364281,0.7678619682882267,12765,0.12765,0.6458723533417999,0.6492716573674058,0.7678534247423614,0.5449406944857974,False,12.171679221634347,17.514992666488162,True,,True,
act2_chebyshev_d9_I1,act2,chebyshev,9,9,I1,-18.4731,9.093,0.07331066752812458,0.10199695767936354,0.45823903011285466,0.0007909990999088734,0.2848044842979533,5.959404008286602,0.09877573226364295,0.37274034399904626,0.4523720792453806,666.1117498463698,0.00943,0.12283646314744276,17.29866055121855,0.5727661535951568,0.3426429622241681,0.3486766555081454,0.4586482172427806,12765,0.12765,0.3404151537746454,0.34624998665287504,0.4586392866548563,0.25740699873050216,False,9.16103647797826,666.1117498463698,True,,True,
act2_chebyshev_d9_I2,act2,chebyshev,9,9,I2,-24.8339,12.2336,0.09865400775548241,0.13721164001122219,0.616836316203076,0.00010165016501417767,0.1907492772327605,0.2582955064864781,0.16277505373714746,0.5172106990075149,0.5969458220782021,16.906473186782137,0.001,0.1890992228658584,1.8391535897679612,0.009641732941004786,0.4985655665811051,0.5029902589681217,0.6168888943851862,12765,0.12765,0.49628971017284984,0.5005605851592533,0.6168799661290981,0.5171920396589527,False,12.324889001557516,33.51786616163565,True,,True,
act2_least_squares_d3_I1,act2,least_squares,3,3,I1,-18.4731,9.093,0.24272619145652416,0.3168304950643639,0.935128087010728,0.0007909990999088734,0.3634758937474985,0.4889687835702833,0.2507245725512839,0.8492545260221358,0.9291524861927469,11.744255768484862,0.00943,0.3493634996691916,1.845905819744159,0.04789008619173996,0.8145263055610713,0.8176664736728696,0.935578545237062,12765,0.12765,0.8123320853712097,0.8153377599966084,0.935568714856503,0.6677917177779679,False,9.973626472574477,28.355648743338378,True,,True,
act2_least_squares_d3_I2,act2,least_squares,3,3,I2,-24.8339,12.2336,0.3264991667471575,0.42630412794399664,1.2584399683232943,0.00010165016501417767,0.5192172424068938,0.6338538507809898,0.4259505999372122,1.1591853732215698,1.238827556481411,5.529948654798002,0.001,0.5182519930450282,1.483501354910667,0.0028571881550653417,1.1364165631677037,1.1387241996274948,1.2584978657967816,12765,0.12765,1.1342015967635803,1.136408702121744,1.258488034354027,0.6288295920867948,False,13.419081352506476,22.141341629651517,True,,True,
act2_least_squares_d5_I1,act2,least_squares,5,5,I1,-18.4731,9.093,0.1492711856788952,0.1864425316069256,0.6637515548348957,0.0007909990999088734,0.2558918140901394,0.8806635134178414,0.1959187906761129,0.575883425274757,0.6571331240063473,64.70938496138446,0.00943,0.22123508903740075,3.8963915103246403,0.14358791457634681,0.5452608284310766,0.5493488886952793,0.6641514729146535,12765,0.12765,0.5429424347615308,0.5468968356763829,0.6641427450563839,0.5833370880176477,False,8.970541729126444,64.70938496138446,True,,True,
act2_least_squares_d5_I2,act2,least_squares,5,5,I2,-24.8339,12.2336,0.20066675274688928,0.25062245820818496,0.8928332526746123,0.00010165016501417767,0.3325321234661016,0.40580432780972275,0.28695518036790413,0.7918080942849958,0.8728198869648318,6.5757255111278425,0.001,0.3313807044393929,1.4827997311481584,0.004459117259687289,0.7724140786445173,0.775423975160181,0.8928846558550041,12765,0.12765,0.7700630687537562,0.7729711302489211,0.8928759271598948,0.6034507302791313,False,12.067236534522895,12.796768735214428,True,,True,
act2_least_squares_d7_I1,act2,least_squares,7,7,I1,-18.4731,9.093,0.10923481186395716,0.1389113864696383,0.5458759058745041,0.0007909990999088734,0.2533696597453113,3.1111547961630235,0.14151666378271172,0.45836707337126403,0.5385789995082931,302.5118117032199,0.00943,0.1644443533833702,9.59448744584796,0.35709096623997244,0.42876608233831215,0.43377202901007794,0.5462760966252403,12765,0.12765,0.42647764797034843,0.4313245524574191,0.5462673625950816,0.43112822574636855,False,8.919923823555475,302.5118117032199,True,,True,
act2_least_squares_d7_I2,act2,least_squares,7,7,I2,-24.8339,12.2336,0.14685871892494717,0.18675769862664152,0.7344110778283167,0.00010165016501417767,0.2512464479040085,0.3213532172997256,0.22107689474772763,0.6338638783009239,0.7142733273562331,12.890756339593738,0.001,0.2496314299026315,1.86464943127964,0.0074215951980027605,0.6150206736594096,0.6186996570884274,0.7344625011003194,12765,0.12765,0.6126917977825543,0.6162486357227439,0.7344537689755195,0.5845205779030801,False,12.002207704953042,15.535712520490705,True,,True,
