run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_seconds,fc2_seconds,decrypt_seconds,online_total_seconds,timing_residual_seconds,timing_residual_ratio
115,chebyshev_d5_I2,112,3,18,115,0.012660699998377822,0.08053479999944102,0.14334619999863207,0.008106099994620308,0.24464779999107122,0.0,0.0
116,least_squares_d5_I2,633,2,25,116,0.012824999997974373,0.08162509999237955,0.1423139000107767,0.007964699994772673,0.2447286999959033,0.0,0.0
117,chebyshev_d3_I1,586,0,22,117,0.009320900004240684,0.03887310001300648,0.12971809999726247,0.0077261999977054074,0.18563830001221504,0.0,0.0
118,chebyshev_d5_I2,259,6,11,118,0.012481199999456294,0.08123749999504071,0.14204890000110026,0.007945600009406917,0.24371320000500418,0.0,0.0
119,least_squares_d5_I2,603,8,4,119,0.012443400002666749,0.08228919999965001,0.14103339999564923,0.007805600005667657,0.24357160000363365,0.0,0.0
120,least_squares_d5_I2,586,0,28,120,0.013026000000536442,0.08130819999496453,0.14209269999992102,0.008319800006574951,0.24474670000199694,0.0,0.0
121,chebyshev_d5_I2,112,3,4,121,0.012582900002598763,0.08164689999830443,0.14723780000349507,0.008030800003325567,0.24949840000772383,0.0,0.0
122,least_squares_d5_I1,589,4,22,122,0.01300989999435842,0.08103629999095574,0.142781799993827,0.007934499997645617,0.24476249997678678,0.0,0.0
123,chebyshev_d5_I1,120,5,10,123,0.01274839999678079,0.08153919999313075,0.14048259999253787,0.007645500008948147,0.24241569999139756,0.0,0.0
124,chebyshev_d5_I2,259,6,21,124,0.012641300010727718,0.08214900000893977,0.141165799999726,0.008304999995743856,0.24426110001513734,0.0,0.0
125,least_squares_d5_I2,589,4,24,125,0.012617599990335293,0.08063340000808239,0.1406699000071967,0.0077917999878991395,0.24171269999351352,0.0,0.0
126,least_squares_d3_I1,603,8,22,126,0.00983859998814296,0.03925560000061523,0.13264640000124928,0.008070700001553632,0.1898112999915611,0.0,0.0
127,least_squares_d3_I1,603,8,11,127,0.00951639999402687,0.03933439998945687,0.13109520000580233,0.008353800003533252,0.18829979999281932,0.0,0.0
128,least_squares_d3_I1,633,2,18,128,0.009512100004940294,0.039109899997129105,0.1313257000001613,0.0077735999948345125,0.18772129999706522,0.0,0.0
129,chebyshev_d5_I1,586,0,28,129,0.012769799999659881,0.08177309999882709,0.1402719000034267,0.008060799998929724,0.2428756000008434,0.0,0.0
130,least_squares_d3_I1,112,3,20,130,0.009447300006286241,0.03887239999312442,0.13151859999925364,0.007684800002607517,0.18752310000127181,0.0,0.0
131,least_squares_d3_I1,586,0,5,131,0.009706199998618104,0.03923680000298191,0.13881440000841394,0.007901100005256012,0.19565850001526996,0.0,0.0
132,chebyshev_d5_I2,603,8,22,132,0.012589599995408207,0.08019240001158323,0.1429723000037484,0.007603500009281561,0.2433578000200214,0.0,0.0
133,least_squares_d5_I1,112,3,12,133,0.012920200009830296,0.08180369999899995,0.14287060000060592,0.007932399996207096,0.24552690000564326,0.0,0.0
134,least_squares_d5_I1,589,4,1,134,0.012719400008791126,0.08149480000429321,0.14258450000488665,0.007722399997874163,0.24452110001584515,0.0,0.0
135,least_squares_d3_I1,949,1,4,135,0.009501099993940443,0.03989759999967646,0.13061870000092313,0.007872799993492663,0.1878901999880327,0.0,0.0
136,chebyshev_d5_I2,112,3,3,136,0.012468899993109517,0.08135989999573212,0.14155859999300446,0.007847200002288446,0.24323459998413455,0.0,0.0
137,least_squares_d3_I1,120,5,20,137,0.009395600005518645,0.03903060000448022,0.13047370000276715,0.008158800003002398,0.1870587000157684,0.0,0.0
138,chebyshev_d5_I1,112,3,14,138,0.012817599999834783,0.08044499999959953,0.14107710000826046,0.00810510000155773,0.2424448000092525,0.0,0.0
139,chebyshev_d5_I2,949,1,5,139,0.012997600002563559,0.08108570000331383,0.13959710000199266,0.007918199989944696,0.24159859999781474,0.0,0.0
140,chebyshev_d5_I2,633,2,7,140,0.012635999999474734,0.08016250000218861,0.14395129999320488,0.009366000012960285,0.2461158000078285,0.0,0.0
141,chebyshev_d5_I1,603,8,3,141,0.013522500012186356,0.08074409999244381,0.14067870000144467,0.0075957999943057075,0.24254110000038054,0.0,0.0
142,chebyshev_d5_I2,949,1,2,142,0.012680700005148537,0.08095849999517668,0.1420905999984825,0.007911900000181049,0.24364169999898877,0.0,0.0
143,chebyshev_d5_I1,586,0,27,143,0.012780799996107817,0.08296770000015385,0.1393746999965515,0.0077929000108269975,0.24291610000364017,0.0,0.0
144,least_squares_d5_I1,112,3,24,144,0.012565400000312366,0.07965990000229795,0.13986539999314118,0.008046900009503588,0.24013760000525508,0.0,0.0
145,least_squares_d3_I1,481,9,28,145,0.009366499987663701,0.038340799990692176,0.13126809999812394,0.007650600004126318,0.18662599998060614,0.0,0.0
146,least_squares_d3_I1,411,7,25,146,0.009623100006137975,0.03899680000904482,0.1305958000011742,0.007732800004305318,0.18694850002066232,0.0,0.0
147,chebyshev_d5_I2,259,6,29,147,0.01258169999346137,0.07981110000400804,0.14126390000456013,0.007813399992301129,0.24147009999433067,0.0,0.0
148,least_squares_d5_I1,586,0,27,148,0.012703899992629886,0.08055929999682121,0.14261560000886675,0.007783900000504218,0.24366269999882206,0.0,0.0
149,chebyshev_d5_I1,589,4,26,149,0.013350599998375401,0.08078570000361651,0.14046350000717212,0.007842599996365607,0.24244240000552963,0.0,0.0
150,least_squares_d3_I1,603,8,2,150,0.009980999995605089,0.04004069999791682,0.1542378999874927,0.007997300010174513,0.21225689999118913,0.0,0.0
151,chebyshev_d5_I1,411,7,23,151,0.012802900004317053,0.08114609999756794,0.14100869999674615,0.007614300004206598,0.24257200000283774,0.0,0.0
152,chebyshev_d3_I1,481,9,20,152,0.009678800008259714,0.03856890001043212,0.13243040000088513,0.007858199998736382,0.18853630001831334,0.0,0.0
153,chebyshev_d3_I1,112,3,21,153,0.009285599997383542,0.03918330000306014,0.1316198999993503,0.008159600009093992,0.18824840000888798,0.0,0.0
154,least_squares_d5_I2,481,9,7,154,0.01257810000970494,0.08031629999459255,0.1520108000113396,0.008075599995208904,0.252980800010846,0.0,0.0
155,least_squares_d5_I2,112,3,8,155,0.013057899996056221,0.08388140000170097,0.14530869999725837,0.007661700001335703,0.24990969999635126,0.0,0.0
156,chebyshev_d3_I1,481,9,16,156,0.009645199999795295,0.03850799999781884,0.13323060001130216,0.007894900001701899,0.1892787000106182,0.0,0.0
157,least_squares_d5_I2,481,9,27,157,0.013104300000122748,0.08216540000285022,0.14068569999653846,0.008025700008147396,0.24398110000765882,0.0,0.0
158,chebyshev_d5_I2,481,9,2,158,0.012406400011968799,0.08118930000637192,0.14070129999890924,0.008197099989047274,0.24249410000629723,0.0,0.0
159,chebyshev_d3_I1,259,6,18,159,0.009387999991304241,0.03905710000253748,0.12976919999346137,0.008430500005488284,0.18664479999279138,0.0,0.0
160,chebyshev_d5_I1,481,9,19,160,0.012621300003957003,0.08501939999405295,0.14338879998831544,0.007680399998207577,0.24870989998453297,0.0,0.0
161,least_squares_d5_I2,411,7,28,161,0.01254979999794159,0.08140940000885166,0.1419132000009995,0.007657399997697212,0.24352980000548996,0.0,0.0
162,chebyshev_d5_I2,603,8,16,162,0.012777500000083819,0.07984669999859761,0.14133099999162368,0.007956599991302937,0.24191179998160806,0.0,0.0
163,chebyshev_d5_I1,589,4,9,163,0.012623899994650856,0.08112899999832734,0.14083889999892563,0.007620800010045059,0.24221260000194889,0.0,0.0
164,chebyshev_d5_I2,411,7,16,164,0.012725000007776543,0.08089829998789355,0.13966089999303222,0.007812099996954203,0.24109629998565651,0.0,0.0
165,chebyshev_d5_I2,589,4,21,165,0.012743100000079721,0.08080229999904986,0.13927450000483077,0.007666699995752424,0.24048659999971278,0.0,0.0
